date,NO2
2026-04-20,0.00011370844747737626
2026-04-21,4.783986325063974e-05
2026-04-23,7.729785869508298e-05
2026-04-24,6.958528125125225e-05
2026-04-25,5.003559954560578e-05
2026-04-26,6.6208153914886e-05
2026-05-01,3.736548585333821e-05
2026-05-03,4.332737795397314e-05
2026-05-04,6.878214993221784e-05
2026-05-05,7.460599333257277e-05
2026-05-06,5.425309093306809e-05
2026-05-07,5.941857736711507e-05
2026-05-08,4.725727771172557e-05
2026-05-10,6.101406993355459e-05
2026-05-11,5.932219270301826e-05
2026-05-12,8.735575705460712e-05
2026-05-13,7.525427349844501e-05
2026-05-14,6.391212009735774e-05
2026-05-15,9.811988681212769e-05
2026-05-16,6.672644634011534e-05
2026-05-19,6.694050386359725e-05
2026-05-20,5.2817258818533045e-05
2026-05-22,0.00018549515968766992
2026-05-23,8.79146315417941e-05
2026-05-24,3.7802510788109077e-05
2026-05-25,5.254589627848211e-05
2026-05-26,6.23846648321295e-05
2026-05-27,4.4558585683077655e-05
2026-05-28,3.8841528194333625e-05
2026-05-31,5.5711177654989694e-05
2026-06-01,6.270787405664863e-05
2026-06-02,0.00011944768607947251
2026-06-03,0.00013959694691416258
2026-06-04,6.834985550759091e-05
2026-06-05,4.932881133946216e-05
2026-06-06,3.1944377594231325e-05
2026-06-07,4.2694593078870894e-05
2026-06-08,6.708250497388708e-05
2026-06-09,8.805929749539658e-05
2026-06-10,8.383230839409606e-05
2026-06-11,7.146793066259389e-05
2026-06-13,5.7984371287899134e-05
2026-06-14,5.031041993063942e-05
2026-06-15,7.870262420121289e-05
2026-06-16,6.614150374494157e-05
2026-06-17,6.043884350967534e-05
2026-06-18,7.142144400568875e-05
2026-06-19,8.497556167757411e-05
2026-06-20,4.9193791889315435e-05
2026-06-21,3.0908435100596024e-05
2026-06-22,3.639621226263778e-05
2026-06-23,5.341934621658215e-05
2026-06-24,4.7695971072508466e-05
2026-06-25,6.008493519055756e-05
2026-06-26,4.577174899380669e-05
2026-06-27,5.719873114468877e-05
2026-06-28,6.58650574949683e-05
2026-06-29,7.692084816551497e-05
2026-06-30,0.0001068591594781701
2026-07-01,0.00013522709273992546
2026-07-02,7.384883565738804e-05
2026-07-03,5.320687114632977e-05
2026-07-04,4.589415216423855e-05
2026-07-05,3.807432023943042e-05
2026-07-06,5.2545051200740654e-05
2026-07-07,6.139556327570274e-05
2026-07-08,6.389388139379623e-05
2026-07-09,7.464507494510947e-05
2026-07-10,5.6580965769659046e-05
2026-07-12,4.8741925995078596e-05
2026-07-13,5.464115583897531e-05
2026-07-14,5.1581294574961645e-05
2026-07-15,4.862424223407372e-05
2026-07-16,4.980538947190545e-05
2026-07-17,7.800339969322981e-05
2026-07-18,6.161971239305086e-05
2026-07-19,6.19438074948448e-05
2026-07-20,5.325759682665782e-05
2026-07-21,6.922371477374094e-05
2026-07-22,8.654024556473086e-05
2026-07-23,0.00013092246016323041
2026-07-24,0.00010086215015093186
2026-07-25,5.8265180204484024e-05
2026-07-26,4.318296325659701e-05
2026-07-28,3.960060736504095e-05
2026-07-29,5.507311152723313e-05
2026-07-30,5.5875414629522566e-05
2026-07-31,4.054756885776234e-05
2026-08-01,4.445673995682391e-05
2026-08-02,1.8637832154562226e-05
2026-08-03,2.9203868211974016e-05
2026-08-04,4.617442608532233e-05
2026-08-05,4.4791027043756054e-05
2026-08-06,4.49934957970759e-05
2026-08-07,5.3253994316990614e-05
2026-08-08,5.814724052662111e-05
2026-08-09,3.525320675708536e-05
2026-08-10,0.00014570236222270492
2026-08-11,9.167010638881327e-05
2026-08-12,5.3526562586483423e-05
2026-08-13,0.00010015752344826283
2026-08-14,6.38816635864409e-05
2026-08-15,6.13328568588549e-05
2026-08-16,4.833752914769186e-05
2026-08-17,1.9648353449378637e-05
2026-08-18,3.18033083654262e-05
2026-08-19,2.9208522443277678e-05
2026-08-20,3.1393998846853355e-05
2026-08-21,3.500371839411176e-05
2026-08-22,4.419472227870694e-05
2026-08-23,5.1387285046496506e-05
2026-08-24,4.8932352624897074e-05
2026-08-25,4.3408513587584735e-05
2026-08-26,5.166001710296093e-05
2026-08-27,9.500755201172522e-05
2026-08-28,7.804502311313467e-05
2026-08-29,6.175859882151921e-05
2026-08-30,3.447439924309627e-05
